day,close
1,99.76
2,100.36
3,100.15
4,99.85
5,98.87
6,98.68
7,99.93
8,100.44
9,101.63
10,101.95
11,102.44
12,102.69
13,100.86
14,101.86
15,102.47
16,103.07
17,101.21
18,99.33
19,98.4
20,97.93
21,98.3
22,98.29
23,98.9
24,98.24
25,98.61
26,99.08
27,98.4
28,100.32
29,100.98
30,102.36
31,101.7
32,100.92
33,100.58
34,100.5
35,101.24
36,101.56
37,101.1
38,100.08
39,99.55
40,100.94
41,100.08
42,100.39
43,100.9
44,99.3
45,99.4
46,100.88
47,98.7
48,98.4
49,98.32
50,97.48
51,98.05
52,98.03
53,96.5
54,97.42
55,98.18
56,99.24
57,100.87
58,101.31
59,101.49
60,100.09
61,100.81
62,100.17
63,99.71
64,98.37
65,97.37
66,96.84
67,98.27
68,96.13
69,94.64
70,94.93
71,96.49
72,97.14
73,95.17
74,92.61
75,93.01
76,92.3
77,91.2
78,92.23
79,93.39
80,93.59
81,93.88
82,94.36
83,96.07
84,96.77
85,97.36
86,97.99
87,96.35
88,97.76
89,98.83
90,99.45
91,97.35
92,96.71
93,97.65
94,95.76
95,95.61
96,96.72
97,95.38
98,97.12
99,97.75
100,97.63
101,98.02
102,98.76
103,98.93
104,100.23
105,99.54
106,99.13
107,100.31
108,100.38
109,99.45
110,100.53
111,102.21
112,101.75
113,100.25
114,100.15
115,100.02
116,99.73
117,101.33
118,100.23
119,101.67
120,100.3
121,99.48
122,100.21
123,101.5
124,102.51
125,102.94
126,103.14
127,103.36
128,104.05
129,103.89
130,104.25
131,104.95
132,105.0
133,105.92
134,106.63
135,109.06
136,109.49
137,109.02
138,108.62
139,108.65
140,109.8
141,109.44
142,109.95
143,112.24
144,109.16
145,107.86
146,108.19
147,108.71
148,109.04
149,108.57
150,109.4
151,109.78
152,109.2
153,112.2
154,112.68
155,112.04
156,111.97
157,111.73
158,111.7
159,108.44
160,107.91
161,109.15
162,107.8
163,107.77
164,108.95
165,110.02
166,111.89
167,109.86
168,109.47
169,109.11
170,109.9
171,111.27
172,108.08
173,109.43
174,107.74
175,108.6
176,106.87
177,107.12
178,108.58
179,108.45
180,108.72
